session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260706_175519,leanback_center_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,,,HIGH,,,sitting lean-back center side
session_20260706_175519,leanback_center_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,,,HIGH,,,sitting lean-back center side
session_20260706_175519,leanback_center_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,,,HIGH,,,sitting lean-back center side
session_20260706_175519,leanback_center_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,,,HIGH,,,sitting lean-back center side
session_20260706_175519,leanback_center_5m,center,SITTING,SITTING_LEAN_BACK,5.0,CENTER,,,HIGH,,,sitting lean-back center side
session_20260706_175519,leanback_right_1m,right,SITTING,SITTING_LEAN_BACK,1.0,RIGHT,,,HIGH,,,sitting lean-back right side
session_20260706_175519,leanback_right_2m,right,SITTING,SITTING_LEAN_BACK,2.0,RIGHT,,,HIGH,,,sitting lean-back right side
session_20260706_175519,leanback_right_3m,right,SITTING,SITTING_LEAN_BACK,3.0,RIGHT,,,HIGH,,,sitting lean-back right side
session_20260706_175519,leanback_right_4m,right,SITTING,SITTING_LEAN_BACK,4.0,RIGHT,,,HIGH,,,sitting lean-back right side
session_20260706_175519,leanback_right_5m,right,SITTING,SITTING_LEAN_BACK,5.0,RIGHT,,,HIGH,,,sitting lean-back right side
session_20260706_175519,leanback_left_1m,left,SITTING,SITTING_LEAN_BACK,1.0,LEFT,,,HIGH,,,sitting lean-back left side
session_20260706_175519,leanback_left_2m,left,SITTING,SITTING_LEAN_BACK,2.0,LEFT,,,HIGH,,,sitting lean-back left side
session_20260706_175519,leanback_left_3m,left,SITTING,SITTING_LEAN_BACK,3.0,LEFT,,,HIGH,,,sitting lean-back left side
session_20260706_175519,leanback_left_4m,left,SITTING,SITTING_LEAN_BACK,4.0,LEFT,,,HIGH,,,sitting lean-back left side
session_20260706_175519,leanback_left_5m,left,SITTING,SITTING_LEAN_BACK,5.0,LEFT,,,HIGH,,,sitting lean-back left side
