window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
session_20260703_205540::leanback_1m::center::1s::19,session_20260703_205540,leanback_1m,center,3,1.0,238.125,239.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,SITTING,STANDING,0.4910348223315345,0.4289765357971191,-0.0620582865344153,1.1706972921541925,0.1706972921541925,0.0555555555555555,0.9444444444444444,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::20,session_20260703_205540,leanback_1m,center,3,1.0,238.625,239.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.498197939660814,0.4220651520623101,-0.0761327875985039,1.169998124906874,0.16999812490687405,0.2222222222222222,0.8333333333333334,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,1,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::21,session_20260703_205540,leanback_1m,center,3,1.0,239.125,240.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4530525257190068,0.4704016380839877,0.0173491123649809,1.1696466523766704,0.16964665237667043,0.3888888888888889,0.7222222222222222,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,1,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::22,session_20260703_205540,leanback_1m,center,3,1.0,239.625,240.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4435404439767201,0.4800871296061409,0.0365466856294208,1.1700864213552469,0.17008642135524688,0.1666666666666666,0.8888888888888888,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::23,session_20260703_205540,leanback_1m,center,3,1.0,240.125,241.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4960182739628685,0.4238454947868983,-0.0721727791759702,1.1702246462603556,0.1702246462603556,0.0,1.0,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::24,session_20260703_205540,leanback_1m,center,3,1.0,240.625,241.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.5137548446655273,0.4051606357097626,-0.1085942089557647,1.1702246462603556,0.1702246462603556,0.0,1.0,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::25,session_20260703_205540,leanback_1m,center,3,1.0,241.125,242.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.5136186281840006,0.4052777919504378,-0.1083408362335629,1.170079891655099,0.17007989165509896,0.0,1.0,1.0,0.0,1.0,0.0,1.0588235294117647,1.0588235294117647,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::26,session_20260703_205540,leanback_1m,center,3,1.0,241.625,242.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.5041191326944452,0.416137684332697,-0.0879814483617481,1.1705157211635913,0.17051572116359126,0.1052631578947368,0.8947368421052632,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::27,session_20260703_205540,leanback_1m,center,3,1.0,242.125,243.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4907659009883278,0.4309939318581631,-0.0597719691301647,1.170688299165566,0.17068829916556605,0.2105263157894736,0.7894736842105263,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::28,session_20260703_205540,leanback_1m,center,3,1.0,242.625,243.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4788065693880382,0.4422789482693923,-0.0365276211186459,1.1699314230284208,0.1699314230284208,0.1052631578947368,0.8947368421052632,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
