window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
session_20260703_205540::standing_1m::center::1s::0,session_20260703_205540,standing_1m,center,0,1.0,4.0,5.0,STANDING,STANDING,1.0,CENTER,1,SITTING,SITTING,0.2321421917941834,0.6664808243513107,0.4343386325571272,0.9800532495440776,0.019946750455922424,7.666666666666667,0.0,0.6111111111111112,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::1,session_20260703_205540,standing_1m,center,0,1.0,4.5,5.5,STANDING,STANDING,1.0,CENTER,1,SITTING,SITTING,0.3538098923034138,0.5917133639256159,0.2379034716222021,0.9829429677083428,0.017057032291657226,3.1666666666666665,0.0,1.0,0.0,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::2,session_20260703_205540,standing_1m,center,0,1.0,5.0,6.0,STANDING,STANDING,1.0,CENTER,1,SITTING,STANDING,0.4897766709327698,0.4654253505170345,-0.0243513204157352,0.991719703567312,0.008280296432688017,2.75,0.05,1.0,0.0,1.0,0.0,1.0526315789473684,1.0526315789473684,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::3,session_20260703_205540,standing_1m,center,0,1.0,5.5,6.5,STANDING,STANDING,1.0,CENTER,1,SITTING,STANDING,0.5669665369722579,0.3777122530672285,-0.1892542839050293,0.9957636908791662,0.004236309120833837,5.277777777777778,0.0555555555555555,0.5555555555555556,0.2777777777777778,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,1,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::4,session_20260703_205540,standing_1m,center,0,1.0,6.0,7.0,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.41696580996116,0.5154241050283114,0.0984582950671513,0.9798622563635502,0.020137743636449823,6.444444444444445,0.0555555555555555,0.3333333333333333,0.5,1.0,0.0,1.125,1.125,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::5,session_20260703_205540,standing_1m,center,0,1.0,6.5,7.5,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.2347812255223591,0.70955800347858,0.4747767779562208,0.968731662217268,0.03126833778273197,6.333333333333333,0.0555555555555555,0.5555555555555556,0.4444444444444444,1.0,0.0,1.3846153846153846,1.3846153846153846,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::6,session_20260703_205540,standing_1m,center,0,1.0,7.0,8.0,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.2998650912195444,0.6541834063827991,0.3543183151632547,0.9724808945841144,0.027519105415885647,5.3125,0.1875,0.75,0.25,1.0,0.0,1.1428571428571428,1.1428571428571428,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::44,session_20260703_205540,standing_1m,center,0,1.0,26.0,27.0,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.450189786522012,0.5067798761945022,0.0565900896724901,1.000246491391924,0.0002464913919240086,1.947368421052632,0.3157894736842105,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::45,session_20260703_205540,standing_1m,center,0,1.0,26.5,27.5,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4715543859883359,0.4784804410056064,0.0069260550172705,0.9934501266463772,0.0065498733536227816,1.736842105263158,0.2631578947368421,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::standing_1m::center::1s::71,session_20260703_205540,standing_1m,center,0,1.0,39.5,40.5,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.3994410425424576,0.5492797344923019,0.1498386919498444,0.9718390003763552,0.028160999623644822,2.25,0.2,1.0,0.0,1.0,0.0,1.1764705882352942,1.1764705882352942,0,0,DEGRADED
