model_name,case,rows,trust_coverage,trusted_accuracy,baseline_accuracy,false_sitting_on_standing
heuristic_conservative,overall,23272,0.01860605018906841,0.7159353348729792,0.5953506359573737,0.033821871476888386
heuristic_conservative,standing_3m,1787,0.0027979854504756574,1.0,0.9328483491885842,0.039731393396754335
heuristic_conservative,two_person,6849,0.015622718645057673,0.8691588785046729,0.6834574390421959,0.016346153846153847
heuristic_conservative,left_right_position,10846,0.013922183293380047,0.7880794701986755,0.6578462105845473,0.044402897873334894
heuristic_conservative,five_meter,3368,0.005344418052256532,0.4444444444444444,0.3945961995249406,0.0056
LogisticRegression,overall,23272,0.07459608112753524,0.8559907834101382,0.5953506359573737,0.033821871476888386
LogisticRegression,standing_3m,1787,0.12311135982092893,0.8454545454545455,0.9328483491885842,0.039731393396754335
LogisticRegression,two_person,6849,0.060300773835596434,0.8523002421307506,0.6834574390421959,0.016346153846153847
LogisticRegression,left_right_position,10846,0.060114327862806564,0.8174846625766872,0.6578462105845473,0.044402897873334894
LogisticRegression,five_meter,3368,0.017517814726840854,0.7288135593220338,0.3945961995249406,0.0056
RandomForestClassifier,overall,23272,0.07764695771742867,0.8871057000553404,0.5953506359573737,0.033821871476888386
RandomForestClassifier,standing_3m,1787,0.11639619473978735,0.8317307692307693,0.9328483491885842,0.039731393396754335
RandomForestClassifier,two_person,6849,0.05562855891371003,0.9212598425196851,0.6834574390421959,0.016346153846153847
RandomForestClassifier,left_right_position,10846,0.05734833118200258,0.8842443729903537,0.6578462105845473,0.044402897873334894
RandomForestClassifier,five_meter,3368,0.019299287410926364,0.8,0.3945961995249406,0.0056
