expected_pose,expected_distance_m,quality_bucket,frames,accuracy,standing_rate,sitting_rate,mean_stand_prob,mean_sit_prob
STANDING,1.0,NO_POINTS,310,0.9967741935483871,0.9967741935483871,0.0032258064516129032,0.6856253405732493,0.2649871954994817
STANDING,1.0,LOW_POINTS,479,0.9603340292275574,0.9603340292275574,0.03966597077244259,0.64863255274694,0.3016885137632645
STANDING,1.0,HAS_POINTS,26,1.0,1.0,0.0,0.517385754447717,0.42066282721666187
STANDING,2.0,NO_POINTS,558,1.0,1.0,0.0,0.7438333508254806,0.20201719662434953
STANDING,2.0,LOW_POINTS,198,1.0,1.0,0.0,0.7329806515363732,0.2127192485701255
STANDING,2.0,HAS_POINTS,1,1.0,1.0,0.0,0.8699544668197632,0.0920345187187194
STANDING,3.0,NO_POINTS,691,1.0,1.0,0.0,0.8064958265997394,0.14501049369573593
STANDING,3.0,LOW_POINTS,61,1.0,1.0,0.0,0.7282944277661746,0.2120916784786787
STANDING,4.0,NO_POINTS,679,1.0,1.0,0.0,0.8238249493101735,0.12818196809827312
STANDING,4.0,LOW_POINTS,26,1.0,1.0,0.0,0.7885441367442791,0.16381727474240154
SITTING,1.0,NO_POINTS,809,0.6847960444993819,0.30902348578491967,0.6847960444993819,0.36356976609423813,0.5497897584889226
SITTING,1.0,LOW_POINTS,246,0.7235772357723578,0.25203252032520324,0.7235772357723578,0.2640246935671468,0.6620069146156311
SITTING,1.0,HAS_POINTS,50,0.26,0.1,0.26,0.08213898318819698,0.7650925976037979
SITTING,2.0,NO_POINTS,634,0.8123028391167192,0.16246056782334384,0.8123028391167192,0.3773838200985398,0.5253395183417323
SITTING,2.0,LOW_POINTS,77,0.44155844155844154,0.45454545454545453,0.44155844155844154,0.232144987993789,0.6833005752656367
SITTING,2.0,HAS_POINTS,63,0.4603174603174603,0.06349206349206349,0.4603174603174603,0.07091153303663879,0.8265613497249664
SITTING,3.0,NO_POINTS,794,0.5264483627204031,0.4634760705289673,0.5264483627204031,0.38648292077916396,0.46298250238826355
SITTING,3.0,LOW_POINTS,128,0.2578125,0.6640625,0.2578125,0.29795032378751785,0.6078586080111563
SITTING,3.0,HAS_POINTS,54,0.2037037037037037,0.37037037037037035,0.2037037037037037,0.13323579137041058,0.75116298623659
SITTING,4.0,NO_POINTS,784,0.0,0.9770408163265306,0.0,0.5913398289691885,0.3195064693774876
SITTING,4.0,LOW_POINTS,222,0.0,0.8963963963963963,0.0,0.4738698651057643,0.38355244524978305
SITTING,4.0,HAS_POINTS,32,0.0,0.65625,0.0,0.3709754664450884,0.3418968076002784
