segment_id,timestamp_s,from,to,event
standing_1m,17.11,SITTING,STANDING,pose_switch
sitting_1m,243.11,MOVING,SITTING,pose_switch
sitting_1m,250.219,SITTING,STANDING,pose_switch
sitting_1m,267.516,STANDING,SITTING,pose_switch
sitting_2m,350.813,UNKNOWN,MOVING,pose_switch
sitting_2m,352.532,MOVING,SITTING,pose_switch
sitting_2m,357.313,SITTING,STANDING,pose_switch
sitting_2m,365.172,STANDING,UNKNOWN,pose_switch
sitting_2m,365.922,UNKNOWN,SITTING,pose_switch
sitting_2m,392.86,SITTING,MOVING,pose_switch
sitting_3m,403.422,STANDING,MOVING,pose_switch
sitting_3m,404.266,MOVING,SITTING,pose_switch
sitting_3m,406.344,SITTING,STANDING,pose_switch
sitting_3m,429.11,STANDING,MOVING,pose_switch
sitting_3m,430.032,MOVING,SITTING,pose_switch
sitting_3m,431.063,SITTING,MOVING,pose_switch
sitting_3m,431.547,MOVING,SITTING,pose_switch
sitting_4m,499.407,STANDING,UNKNOWN,pose_switch
sitting_4m,500.547,UNKNOWN,STANDING,pose_switch
sitting_4m,531.985,STANDING,UNKNOWN,pose_switch
sitting_4m,534.047,UNKNOWN,STANDING,pose_switch
