segment_id,field,value,count
standing_1m,quality,LOW_POINTS,479
standing_1m,quality,NO_POINTS,310
standing_1m,quality,OK,23
standing_1m,quality,LOW_CONF,3
standing_1m,geom_quality,NA,815
standing_1m,assoc,NA,815
standing_1m,range_zone,1m,815
standing_1m,moving_override_reason,NA,815
standing_1m,final_reason,NA,815
standing_1m,stand_sit_decision,NA,815
standing_1m,status,LOW_POINTS,479
standing_1m,status,NO_POINTS,310
standing_1m,status,OK,23
standing_1m,status,LOW_CONF,3
standing_2m,quality,NO_POINTS,558
standing_2m,quality,LOW_POINTS,198
standing_2m,quality,OK,1
standing_2m,geom_quality,NA,757
standing_2m,assoc,NA,757
standing_2m,range_zone,2m,757
standing_2m,moving_override_reason,NA,757
standing_2m,final_reason,NA,757
standing_2m,stand_sit_decision,NA,757
standing_2m,status,NO_POINTS,558
standing_2m,status,LOW_POINTS,198
standing_2m,status,OK,1
standing_3m,quality,NO_POINTS,691
standing_3m,quality,LOW_POINTS,61
standing_3m,geom_quality,NA,752
standing_3m,assoc,NA,752
standing_3m,range_zone,3m,752
standing_3m,moving_override_reason,NA,752
standing_3m,final_reason,NA,752
standing_3m,stand_sit_decision,NA,752
standing_3m,status,NO_POINTS,691
standing_3m,status,LOW_POINTS,61
standing_4m,quality,NO_POINTS,679
standing_4m,quality,LOW_POINTS,26
standing_4m,geom_quality,NA,705
standing_4m,assoc,NA,705
standing_4m,range_zone,4m,705
standing_4m,moving_override_reason,NA,705
standing_4m,final_reason,NA,705
standing_4m,stand_sit_decision,NA,705
standing_4m,status,NO_POINTS,679
standing_4m,status,LOW_POINTS,26
sitting_1m,quality,NO_POINTS,809
sitting_1m,quality,LOW_POINTS,246
sitting_1m,quality,OK,40
sitting_1m,quality,LOW_CONF,10
sitting_1m,geom_quality,NA,1105
sitting_1m,assoc,NA,1105
sitting_1m,range_zone,1m,1105
sitting_1m,moving_override_reason,NA,1105
sitting_1m,final_reason,NA,1105
sitting_1m,stand_sit_decision,NA,1105
sitting_1m,status,NO_POINTS,809
sitting_1m,status,LOW_POINTS,246
sitting_1m,status,OK,40
sitting_1m,status,LOW_CONF,10
sitting_2m,quality,NO_POINTS,634
sitting_2m,quality,LOW_POINTS,77
sitting_2m,quality,OK,60
sitting_2m,quality,LOW_CONF,3
sitting_2m,geom_quality,NA,774
sitting_2m,assoc,NA,774
sitting_2m,range_zone,2m,774
sitting_2m,moving_override_reason,NA,774
sitting_2m,final_reason,NA,774
sitting_2m,stand_sit_decision,NA,774
sitting_2m,status,NO_POINTS,634
sitting_2m,status,LOW_POINTS,77
sitting_2m,status,OK,60
sitting_2m,status,LOW_CONF,3
sitting_3m,quality,NO_POINTS,794
sitting_3m,quality,LOW_POINTS,128
sitting_3m,quality,OK,54
sitting_3m,geom_quality,NA,976
sitting_3m,assoc,NA,976
sitting_3m,range_zone,3m,972
sitting_3m,range_zone,2m,4
sitting_3m,moving_override_reason,NA,976
sitting_3m,final_reason,NA,976
sitting_3m,stand_sit_decision,NA,976
sitting_3m,status,NO_POINTS,794
sitting_3m,status,LOW_POINTS,128
sitting_3m,status,OK,54
sitting_4m,quality,NO_POINTS,784
sitting_4m,quality,LOW_POINTS,222
sitting_4m,quality,LOW_CONF,23
sitting_4m,quality,OK,9
sitting_4m,geom_quality,NA,1038
sitting_4m,assoc,NA,1038
sitting_4m,range_zone,4m,945
sitting_4m,range_zone,3m,93
sitting_4m,moving_override_reason,NA,1038
sitting_4m,final_reason,NA,1038
sitting_4m,stand_sit_decision,NA,1038
sitting_4m,status,NO_POINTS,784
sitting_4m,status,LOW_POINTS,222
sitting_4m,status,LOW_CONF,23
sitting_4m,status,OK,9
