session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260704_145249,standing_1m,left_person,STANDING,STANDING,1.0,LEFT,8.000,77.352,MEDIUM,0,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.169; mean_x_right=0.957; separation=2.126
session_20260704_145249,standing_1m,right_person,STANDING,STANDING,1.0,RIGHT,8.000,77.352,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.169; mean_x_right=0.957; separation=2.126
session_20260704_145249,standing_2m,left_person,STANDING,STANDING,2.0,LEFT,83.352,152.703,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.301; mean_x_right=0.965; separation=2.266
session_20260704_145249,standing_2m,right_person,STANDING,STANDING,2.0,RIGHT,83.352,152.703,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.301; mean_x_right=0.965; separation=2.266
session_20260704_145249,standing_3m,left_person,STANDING,STANDING,3.0,LEFT,158.703,228.055,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.510; mean_x_right=0.848; separation=2.358
session_20260704_145249,standing_3m,right_person,STANDING,STANDING,3.0,RIGHT,158.703,228.055,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.510; mean_x_right=0.848; separation=2.358
session_20260704_145249,standing_4m,left_person,STANDING,STANDING,4.0,LEFT,234.055,303.406,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.652; mean_x_right=0.805; separation=2.457
session_20260704_145249,standing_4m,right_person,STANDING,STANDING,4.0,RIGHT,234.055,303.406,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.652; mean_x_right=0.805; separation=2.457
session_20260704_145249,standing_5m,left_person,STANDING,STANDING,5.0,LEFT,309.406,378.757,MEDIUM,4,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-0.956; mean_x_right=0.761; separation=1.717
session_20260704_145249,standing_5m,right_person,STANDING,STANDING,5.0,RIGHT,309.406,378.757,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-0.956; mean_x_right=0.761; separation=1.717
