session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260704_152302,standing_1m,center,STANDING,STANDING,1.0,CENTER,8.000,76.297,MEDIUM,0,HIGH,"single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.997; tid_counts={0: 1242, 1: 4}"
session_20260704_152302,standing_2m,center,STANDING,STANDING,2.0,CENTER,82.297,150.594,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1239}
session_20260704_152302,standing_3m,center,STANDING,STANDING,3.0,CENTER,156.594,224.891,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1240}
session_20260704_152302,standing_4m,center,STANDING,STANDING,4.0,CENTER,230.891,299.187,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1241}
session_20260704_152302,standing_5m,center,STANDING,STANDING,5.0,CENTER,305.187,373.484,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 817}
session_20260704_152302,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,379.484,447.781,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1241}
session_20260704_152302,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,453.781,522.078,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1242}
session_20260704_152302,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,528.078,596.375,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1242}
session_20260704_152302,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,602.375,670.672,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 823}
session_20260704_152302,leanback_5m,center,SITTING,SITTING_LEAN_BACK,5.0,CENTER,676.672,744.968,MEDIUM,3,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={3: 648}
session_20260704_152302,upright_1m,center,SITTING,SITTING_UPRIGHT,1.0,CENTER,750.968,819.265,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 771}
session_20260704_152302,upright_2m,center,SITTING,SITTING_UPRIGHT,2.0,CENTER,825.265,893.562,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1242}
session_20260704_152302,upright_3m,center,SITTING,SITTING_UPRIGHT,3.0,CENTER,899.562,967.859,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1242}
session_20260704_152302,upright_4m,center,SITTING,SITTING_UPRIGHT,4.0,CENTER,973.859,1042.156,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1242}
session_20260704_152302,upright_5m,center,SITTING,SITTING_UPRIGHT,5.0,CENTER,1048.156,1116.453,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1241}
session_20260704_152302,leanforward_1m,center,SITTING,SITTING_LEAN_FORWARD,1.0,CENTER,1122.453,1190.750,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 68}
session_20260704_152302,leanforward_2m,center,SITTING,SITTING_LEAN_FORWARD,2.0,CENTER,1196.750,1265.046,MEDIUM,5,HIGH,"single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.967; tid_counts={5: 208, 6: 7}"
session_20260704_152302,leanforward_3m,center,SITTING,SITTING_LEAN_FORWARD,3.0,CENTER,1271.046,1339.343,MEDIUM,7,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={7: 1110}
