model,validation,actual,predicted,count
baseline_current_display,all_labeled_examples,STANDING,STANDING,11038
baseline_current_display,all_labeled_examples,STANDING,SITTING,394
baseline_current_display,all_labeled_examples,STANDING,MOVING,8
baseline_current_display,all_labeled_examples,STANDING,UNKNOWN,7
baseline_current_display,all_labeled_examples,SITTING,STANDING,18686
baseline_current_display,all_labeled_examples,SITTING,SITTING,12146
baseline_current_display,all_labeled_examples,SITTING,MOVING,421
baseline_current_display,all_labeled_examples,SITTING,UNKNOWN,2645
baseline_current_display,all_labeled_examples,SITTING,LYING,13
baseline_raw_max_probability,all_labeled_examples,STANDING,STANDING,9931
baseline_raw_max_probability,all_labeled_examples,STANDING,SITTING,1516
baseline_raw_max_probability,all_labeled_examples,SITTING,STANDING,19589
baseline_raw_max_probability,all_labeled_examples,SITTING,SITTING,13479
baseline_raw_max_probability,all_labeled_examples,SITTING,LYING,692
baseline_raw_max_probability,all_labeled_examples,SITTING,FALLING,151
baseline_refined_gate_display_if_available,all_labeled_examples,STANDING,STANDING,11038
baseline_refined_gate_display_if_available,all_labeled_examples,STANDING,SITTING,394
baseline_refined_gate_display_if_available,all_labeled_examples,STANDING,MOVING,8
baseline_refined_gate_display_if_available,all_labeled_examples,STANDING,UNKNOWN,7
baseline_refined_gate_display_if_available,all_labeled_examples,SITTING,STANDING,18686
baseline_refined_gate_display_if_available,all_labeled_examples,SITTING,SITTING,12146
baseline_refined_gate_display_if_available,all_labeled_examples,SITTING,MOVING,421
baseline_refined_gate_display_if_available,all_labeled_examples,SITTING,UNKNOWN,2645
baseline_refined_gate_display_if_available,all_labeled_examples,SITTING,LYING,13
LogisticRegression,leave_one_session_out,STANDING,STANDING,4530
LogisticRegression,leave_one_session_out,STANDING,SITTING,6917
LogisticRegression,leave_one_session_out,SITTING,STANDING,4471
LogisticRegression,leave_one_session_out,SITTING,SITTING,29440
LogisticRegression,older_sessions_to_live_session,STANDING,SITTING,6917
LogisticRegression,older_sessions_to_live_session,SITTING,SITTING,15280
RandomForestClassifier,leave_one_session_out,STANDING,STANDING,4530
RandomForestClassifier,leave_one_session_out,STANDING,SITTING,6917
RandomForestClassifier,leave_one_session_out,SITTING,STANDING,2517
RandomForestClassifier,leave_one_session_out,SITTING,SITTING,31394
RandomForestClassifier,older_sessions_to_live_session,STANDING,SITTING,6917
RandomForestClassifier,older_sessions_to_live_session,SITTING,SITTING,15280
HistGradientBoostingClassifier,leave_one_session_out,STANDING,STANDING,4530
HistGradientBoostingClassifier,leave_one_session_out,STANDING,SITTING,6917
HistGradientBoostingClassifier,leave_one_session_out,SITTING,STANDING,2686
HistGradientBoostingClassifier,leave_one_session_out,SITTING,SITTING,31225
HistGradientBoostingClassifier,older_sessions_to_live_session,STANDING,SITTING,6917
HistGradientBoostingClassifier,older_sessions_to_live_session,SITTING,SITTING,15280
