session_id,expected_subpose,distance_m,examples,baseline_display_accuracy,tracking_presence_rate,pose_presence_rate,range_error_m_mean
session_20260703_205540,SITTING_LEAN_BACK,1.0,1622,0.6683107274969173,0.9993816171574378,0.9993816171574378,0.1199276410569
session_20260703_205540,SITTING_LEAN_BACK,2.0,590,1.0,0.9995986080936983,0.9995986080936983,0.058243399392098556
session_20260703_205540,SITTING_LEAN_BACK,3.0,649,0.08628659476117104,0.9995701559360256,0.9995701559360256,0.05838523282119148
session_20260703_205540,SITTING_LEAN_BACK,4.0,803,0.0,0.9968599225819093,0.9968599225819093,0.13352543300214303
session_20260703_205540,STANDING,1.0,1210,0.9570247933884297,0.9996701449966455,0.9996701449966455,0.01531450100503505
session_20260703_205540,STANDING,2.0,1130,0.9725663716814159,0.9997115670600216,0.9997115670600216,0.06624805607066861
session_20260703_205540,STANDING,3.0,1135,1.0,0.9994773506199403,0.9994773506199403,0.042651785510521276
session_20260703_205540,STANDING,4.0,1055,1.0,0.9993512732197767,0.9993512732197767,0.033347546449625676
sitting_ab_default_cfg,SITTING_LEAN_BACK,1.0,1922,0.9614984391259105,0.9862855485130593,0.9997749719908993,0.24164981275361191
sitting_ab_default_cfg,SITTING_LEAN_BACK,2.0,1840,0.9217391304347826,0.990377068611543,1.0,0.17455268404439328
sitting_ab_default_cfg,SITTING_LEAN_BACK,3.0,379,0.2612137203166227,0.9947748285816304,1.0,0.15052396918034128
sitting_ab_default_cfg,SITTING_LEAN_BACK,4.0,587,0.0,0.9926529709190648,1.0,0.10972389637268903
sitting_ab_static_retention_cfg,SITTING_LEAN_BACK,1.0,1886,0.015376458112407211,0.9948896170815578,0.9999846530795307,0.18936891899228933
sitting_ab_static_retention_cfg,SITTING_LEAN_BACK,2.0,2969,0.03738632536207477,0.9924414623116649,0.9999860578189586,0.16333281369076125
sitting_ab_static_retention_cfg,SITTING_LEAN_BACK,3.0,3373,0.0029647198339756895,1.0,1.0,0.20222513322049476
sitting_ab_static_retention_cfg,SITTING_LEAN_BACK,4.0,2011,0.0,1.0,0.9999889496657275,0.1447878494177629
sitting_relative_gate_refined_live_test,SITTING_LEAN_BACK,1.0,729,1.0,0.992944131415914,0.9999741101774162,0.31083214816545385
sitting_relative_gate_refined_live_test,SITTING_LEAN_BACK,2.0,671,1.0,0.9910620972889611,1.0,0.35259408584406193
sitting_relative_gate_refined_live_test,SITTING_LEAN_BACK,3.0,738,0.8590785907859079,0.987583722401507,0.9999969274069158,0.22672566092658547
sitting_relative_gate_refined_live_test,SITTING_LEAN_BACK,4.0,957,0.0,0.9916251622825376,1.0,0.2793861277341361
sitting_relative_gate_refined_live_test,SITTING_LEAN_BACK,5.0,888,0.0,0.9876537920797216,0.9998616945734202,0.06127802069530212
sitting_relative_gate_refined_live_test,SITTING_LEAN_FORWARD,1.0,678,0.9778761061946902,0.9856044496903394,0.9997928644576801,0.22589236519606587
sitting_relative_gate_refined_live_test,SITTING_LEAN_FORWARD,2.0,1004,0.41832669322709165,0.9918520106916839,0.9999933671727129,0.24005484938315855
sitting_relative_gate_refined_live_test,SITTING_LEAN_FORWARD,3.0,1202,0.028286189683860232,0.9886099084792734,0.999998113499421,0.2782506924042107
sitting_relative_gate_refined_live_test,SITTING_LEAN_FORWARD,4.0,745,0.9677852348993289,0.9915310001226064,1.0,0.2342395104812385
sitting_relative_gate_refined_live_test,SITTING_LEAN_FORWARD,5.0,619,0.0,0.9904751714203782,1.0,0.16994616727712683
sitting_relative_gate_refined_live_test,SITTING_UPRIGHT,1.0,1714,0.09976662777129522,0.9875260996390955,0.9999693870022134,0.08067387204112043
sitting_relative_gate_refined_live_test,SITTING_UPRIGHT,2.0,1679,1.0,0.9896850561301044,0.9999762357061487,0.13285315505713052
sitting_relative_gate_refined_live_test,SITTING_UPRIGHT,3.0,1672,0.1638755980861244,0.9925069427687461,1.0,0.09062067599498858
sitting_relative_gate_refined_live_test,SITTING_UPRIGHT,4.0,680,0.0,0.9922816186711859,1.0,0.09101870462468119
sitting_relative_gate_refined_live_test,SITTING_UPRIGHT,5.0,1304,0.4808282208588957,0.9852262256643743,0.9999291146113484,4.058134137127319
sitting_relative_gate_refined_live_test,STANDING,1.0,1386,0.9819624819624819,0.9890111081603105,1.0,0.050666811341792975
sitting_relative_gate_refined_live_test,STANDING,2.0,1572,0.9866412213740458,0.9894979201525568,1.0,0.04762175126521413
sitting_relative_gate_refined_live_test,STANDING,3.0,1638,0.8290598290598291,0.9921602999459186,0.9999884812853451,0.08762934938046692
sitting_relative_gate_refined_live_test,STANDING,4.0,698,1.0,0.9918786927677955,1.0,0.00333333368153061
sitting_relative_gate_refined_live_test,STANDING,5.0,1623,1.0,0.9908321015343116,0.9999911741071456,0.12251548175456577
