segment_id,timestamp_s,from,to,event
standing_1m,11.454,UNKNOWN,SITTING,pose_switch
standing_1m,11.579,SITTING,MOVING,pose_switch
standing_1m,13.204,MOVING,UNKNOWN,pose_switch
standing_1m,13.594,UNKNOWN,STANDING,pose_switch
standing_1m,14.657,STANDING,UNKNOWN,pose_switch
standing_1m,15.36,UNKNOWN,SITTING,pose_switch
standing_1m,17.11,SITTING,STANDING,pose_switch
standing_2m,64.219,STANDING,UNKNOWN,pose_switch
standing_2m,64.672,UNKNOWN,MOVING,pose_switch
standing_2m,65.172,MOVING,UNKNOWN,pose_switch
standing_2m,65.875,UNKNOWN,MOVING,pose_switch
standing_2m,68.157,MOVING,UNKNOWN,pose_switch
standing_2m,68.532,UNKNOWN,MOVING,pose_switch
standing_2m,70.797,MOVING,UNKNOWN,pose_switch
standing_2m,71.282,UNKNOWN,SITTING,pose_switch
standing_2m,72.875,SITTING,STANDING,pose_switch
standing_3m,117.813,STANDING,MOVING,pose_switch
standing_3m,121.797,MOVING,STANDING,pose_switch
standing_4m,171.641,STANDING,MOVING,pose_switch
standing_4m,172.235,MOVING,UNKNOWN,pose_switch
standing_4m,172.735,UNKNOWN,MOVING,pose_switch
standing_4m,174.141,MOVING,UNKNOWN,pose_switch
standing_4m,174.422,UNKNOWN,MOVING,pose_switch
standing_4m,176.532,MOVING,STANDING,pose_switch
leanback_1m,236.079,UNKNOWN,SITTING,pose_switch
leanback_1m,236.125,SITTING,STANDING,pose_switch
leanback_1m,236.313,STANDING,MOVING,pose_switch
leanback_1m,237.579,MOVING,LYING,pose_switch
leanback_1m,238.688,LYING,UNKNOWN,pose_switch
leanback_1m,239.579,UNKNOWN,MOVING,pose_switch
leanback_1m,243.11,MOVING,SITTING,pose_switch
leanback_1m,250.219,SITTING,STANDING,pose_switch
leanback_1m,267.516,STANDING,SITTING,pose_switch
leanback_2m,304.219,SITTING,MOVING,pose_switch
leanback_2m,305.485,MOVING,UNKNOWN,pose_switch
leanback_2m,305.719,UNKNOWN,MOVING,pose_switch
leanback_2m,307.547,MOVING,SITTING,pose_switch
leanback_2m,308.391,SITTING,UNKNOWN,pose_switch
leanback_2m,309.407,UNKNOWN,SITTING,pose_switch
leanback_2m,309.985,SITTING,MOVING,pose_switch
leanback_2m,311.266,MOVING,SITTING,pose_switch
leanback_3m,392.86,SITTING,MOVING,pose_switch
leanback_3m,393.625,MOVING,SITTING,pose_switch
leanback_3m,394.907,SITTING,STANDING,pose_switch
leanback_3m,395.313,STANDING,UNKNOWN,pose_switch
leanback_3m,396.438,UNKNOWN,MOVING,pose_switch
leanback_3m,398.125,MOVING,SITTING,pose_switch
leanback_3m,398.454,SITTING,STANDING,pose_switch
leanback_3m,403.422,STANDING,MOVING,pose_switch
leanback_3m,404.266,MOVING,SITTING,pose_switch
leanback_3m,406.344,SITTING,STANDING,pose_switch
leanback_4m,477.438,UNKNOWN,SITTING,pose_switch
leanback_4m,477.61,SITTING,MOVING,pose_switch
leanback_4m,478.282,MOVING,SITTING,pose_switch
leanback_4m,478.766,SITTING,MOVING,pose_switch
leanback_4m,480.61,MOVING,SITTING,pose_switch
leanback_4m,480.813,SITTING,MOVING,pose_switch
leanback_4m,481.422,MOVING,SITTING,pose_switch
leanback_4m,483.36,SITTING,STANDING,pose_switch
leanback_4m,499.407,STANDING,UNKNOWN,pose_switch
leanback_4m,500.547,UNKNOWN,STANDING,pose_switch
