segment_id,field,value,count
standing_1m,quality,LOW_POINTS,388
standing_1m,quality,NO_POINTS,243
standing_1m,quality,OK,42
standing_1m,quality,LOW_CONF,35
standing_1m,quality,WARMUP,7
standing_1m,geom_quality,NA,715
standing_1m,assoc,NA,715
standing_1m,range_zone,1m,715
standing_1m,moving_override_reason,NA,715
standing_1m,final_reason,NA,715
standing_1m,stand_sit_decision,NA,715
standing_1m,status,LOW_POINTS,388
standing_1m,status,NO_POINTS,243
standing_1m,status,OK,42
standing_1m,status,LOW_CONF,35
standing_1m,status,WARMUP,7
standing_2m,quality,NO_POINTS,474
standing_2m,quality,LOW_POINTS,179
standing_2m,quality,OK,81
standing_2m,quality,LOW_CONF,56
standing_2m,geom_quality,NA,790
standing_2m,assoc,NA,790
standing_2m,range_zone,2m,694
standing_2m,range_zone,1m,96
standing_2m,moving_override_reason,NA,790
standing_2m,final_reason,NA,790
standing_2m,stand_sit_decision,NA,790
standing_2m,status,NO_POINTS,474
standing_2m,status,LOW_POINTS,179
standing_2m,status,OK,81
standing_2m,status,LOW_CONF,56
standing_3m,quality,NO_POINTS,559
standing_3m,quality,LOW_POINTS,134
standing_3m,quality,OK,71
standing_3m,quality,LOW_CONF,29
standing_3m,geom_quality,NA,793
standing_3m,assoc,NA,793
standing_3m,range_zone,3m,693
standing_3m,range_zone,2m,100
standing_3m,moving_override_reason,NA,793
standing_3m,final_reason,NA,793
standing_3m,stand_sit_decision,NA,793
standing_3m,status,NO_POINTS,559
standing_3m,status,LOW_POINTS,134
standing_3m,status,OK,71
standing_3m,status,LOW_CONF,29
standing_4m,quality,NO_POINTS,602
standing_4m,quality,LOW_POINTS,78
standing_4m,quality,OK,36
standing_4m,quality,LOW_CONF,16
standing_4m,geom_quality,NA,732
standing_4m,assoc,NA,732
standing_4m,range_zone,4m,638
standing_4m,range_zone,3m,94
standing_4m,moving_override_reason,NA,732
standing_4m,final_reason,NA,732
standing_4m,stand_sit_decision,NA,732
standing_4m,status,NO_POINTS,602
standing_4m,status,LOW_POINTS,78
standing_4m,status,OK,36
standing_4m,status,LOW_CONF,16
leanback_1m,quality,NO_POINTS,658
leanback_1m,quality,LOW_POINTS,221
leanback_1m,quality,OK,72
leanback_1m,quality,LOW_CONF,46
leanback_1m,quality,WARMUP,7
leanback_1m,geom_quality,NA,1004
leanback_1m,assoc,NA,1004
leanback_1m,range_zone,1m,1004
leanback_1m,moving_override_reason,NA,1004
leanback_1m,final_reason,NA,1004
leanback_1m,stand_sit_decision,NA,1004
leanback_1m,status,NO_POINTS,658
leanback_1m,status,LOW_POINTS,221
leanback_1m,status,OK,72
leanback_1m,status,LOW_CONF,46
leanback_1m,status,WARMUP,7
leanback_2m,quality,NO_POINTS,258
leanback_2m,quality,OK,81
leanback_2m,quality,LOW_POINTS,38
leanback_2m,quality,LOW_CONF,35
leanback_2m,geom_quality,NA,412
leanback_2m,assoc,NA,412
leanback_2m,range_zone,2m,318
leanback_2m,range_zone,1m,94
leanback_2m,moving_override_reason,NA,412
leanback_2m,final_reason,NA,412
leanback_2m,stand_sit_decision,NA,412
leanback_2m,status,NO_POINTS,258
leanback_2m,status,OK,81
leanback_2m,status,LOW_POINTS,38
leanback_2m,status,LOW_CONF,35
leanback_3m,quality,NO_POINTS,225
leanback_3m,quality,LOW_POINTS,124
leanback_3m,quality,OK,88
leanback_3m,quality,LOW_CONF,14
leanback_3m,geom_quality,NA,451
leanback_3m,assoc,NA,451
leanback_3m,range_zone,3m,368
leanback_3m,range_zone,2m,83
leanback_3m,moving_override_reason,NA,451
leanback_3m,final_reason,NA,451
leanback_3m,stand_sit_decision,NA,451
leanback_3m,status,NO_POINTS,225
leanback_3m,status,LOW_POINTS,124
leanback_3m,status,OK,88
leanback_3m,status,LOW_CONF,14
leanback_4m,quality,NO_POINTS,300
leanback_4m,quality,LOW_POINTS,148
leanback_4m,quality,OK,51
leanback_4m,quality,LOW_CONF,18
leanback_4m,quality,WARMUP,7
leanback_4m,geom_quality,NA,524
leanback_4m,assoc,NA,524
leanback_4m,range_zone,4m,449
leanback_4m,range_zone,3m,74
leanback_4m,range_zone,2m,1
leanback_4m,moving_override_reason,NA,524
leanback_4m,final_reason,NA,524
leanback_4m,stand_sit_decision,NA,524
leanback_4m,status,NO_POINTS,300
leanback_4m,status,LOW_POINTS,148
leanback_4m,status,OK,51
leanback_4m,status,LOW_CONF,18
leanback_4m,status,WARMUP,7
