segment_id,expected_pose,bucket,frames,accuracy
standing_1m,STANDING,quality_OK,42,0.5238095238095238
standing_1m,STANDING,LOW_POINTS,388,0.8994845360824743
standing_1m,STANDING,NO_POINTS,243,0.9958847736625515
standing_1m,STANDING,geom_pts_0,243,0.9958847736625515
standing_1m,STANDING,geom_pts_ge_3,291,0.7216494845360825
standing_2m,STANDING,quality_OK,81,0.07407407407407407
standing_2m,STANDING,LOW_POINTS,179,0.8715083798882681
standing_2m,STANDING,NO_POINTS,474,0.989451476793249
standing_2m,STANDING,geom_pts_0,474,0.989451476793249
standing_2m,STANDING,geom_pts_ge_3,201,0.3034825870646766
standing_3m,STANDING,quality_OK,71,0.4225352112676056
standing_3m,STANDING,LOW_POINTS,134,0.8805970149253731
standing_3m,STANDING,NO_POINTS,559,0.998211091234347
standing_3m,STANDING,geom_pts_0,559,0.998211091234347
standing_3m,STANDING,geom_pts_ge_3,164,0.6097560975609756
standing_4m,STANDING,quality_OK,36,0.2222222222222222
standing_4m,STANDING,LOW_POINTS,78,0.48717948717948717
standing_4m,STANDING,NO_POINTS,602,0.9900332225913622
standing_4m,STANDING,geom_pts_0,602,0.9900332225913622
standing_4m,STANDING,geom_pts_ge_3,88,0.2727272727272727
leanback_1m,SITTING,quality_OK,72,0.1527777777777778
leanback_1m,SITTING,LOW_POINTS,221,0.6199095022624435
leanback_1m,SITTING,NO_POINTS,658,0.6109422492401215
leanback_1m,SITTING,geom_pts_0,658,0.6109422492401215
leanback_1m,SITTING,geom_pts_ge_3,196,0.28061224489795916
leanback_2m,SITTING,quality_OK,81,0.41975308641975306
leanback_2m,SITTING,LOW_POINTS,38,0.42105263157894735
leanback_2m,SITTING,NO_POINTS,258,0.9922480620155039
leanback_2m,SITTING,geom_pts_0,258,0.9922480620155039
leanback_2m,SITTING,geom_pts_ge_3,137,0.291970802919708
leanback_3m,SITTING,quality_OK,88,0.4772727272727273
leanback_3m,SITTING,LOW_POINTS,124,0.3951612903225806
leanback_3m,SITTING,NO_POINTS,225,0.16444444444444445
leanback_3m,SITTING,geom_pts_0,225,0.16444444444444445
leanback_3m,SITTING,geom_pts_ge_3,172,0.436046511627907
leanback_4m,SITTING,quality_OK,51,0.3137254901960784
leanback_4m,SITTING,LOW_POINTS,148,0.1891891891891892
leanback_4m,SITTING,NO_POINTS,300,0.02
leanback_4m,SITTING,geom_pts_0,300,0.02
leanback_4m,SITTING,geom_pts_ge_3,164,0.20121951219512196
