expected_pose,expected_distance_m,quality_bucket,frames,accuracy,standing_rate,sitting_rate,mean_stand_prob,mean_sit_prob
SITTING,1.0,NO_POINTS,804,0.9975124378109452,0.0,0.9975124378109452,0.25082675460783943,0.6112158387454588
SITTING,1.0,LOW_POINTS,144,0.8125,0.0,0.8125,0.15720090874997872,0.7158202016726136
SITTING,1.0,HAS_POINTS,113,0.20353982300884957,0.0,0.20353982300884957,0.05583147072043694,0.7581395448836605
SITTING,2.0,NO_POINTS,953,0.9359916054564533,0.06400839454354669,0.9359916054564533,0.3460208569674832,0.5476416839445
SITTING,2.0,LOW_POINTS,132,0.8409090909090909,0.13636363636363635,0.8409090909090909,0.12849653291844082,0.7900347876164949
SITTING,2.0,HAS_POINTS,198,0.6363636363636364,0.09090909090909091,0.6363636363636364,0.04688602084684359,0.7787217816544904
SITTING,3.0,NO_POINTS,170,0.9882352941176471,0.0,0.9882352941176471,0.3554112765718908,0.53026063301984
SITTING,3.0,LOW_POINTS,24,0.4166666666666667,0.0,0.4166666666666667,0.061701023330291066,0.8198659271001816
SITTING,3.0,HAS_POINTS,75,0.48,0.0,0.48,0.03237752578997359,0.8856002402305603
SITTING,4.0,NO_POINTS,180,0.4444444444444444,0.37222222222222223,0.4444444444444444,0.44660789796875583,0.4416187607941942
SITTING,4.0,LOW_POINTS,177,0.24293785310734464,0.4632768361581921,0.24293785310734464,0.2935113086007367,0.49157784730038145
SITTING,4.0,HAS_POINTS,57,0.45614035087719296,0.19298245614035087,0.45614035087719296,0.1271375697065275,0.6947550013203893
