segment_id,timestamp_s,from,to,event
leanback_1m,19.812,UNKNOWN,SITTING,pose_switch
leanback_1m,19.953,SITTING,MOVING,pose_switch
leanback_1m,20.281,MOVING,SITTING,pose_switch
leanback_1m,20.5,SITTING,MOVING,pose_switch
leanback_1m,21.328,MOVING,UNKNOWN,pose_switch
leanback_1m,21.64,UNKNOWN,MOVING,pose_switch
leanback_1m,26.359,MOVING,SITTING,pose_switch
leanback_2m,99.094,SITTING,MOVING,pose_switch
leanback_2m,100.265,MOVING,UNKNOWN,pose_switch
leanback_2m,100.703,UNKNOWN,MOVING,pose_switch
leanback_2m,102.219,MOVING,SITTING,pose_switch
leanback_2m,107.781,SITTING,STANDING,pose_switch
leanback_2m,113.109,STANDING,SITTING,pose_switch
leanback_3m,177.375,SITTING,MOVING,pose_switch
leanback_3m,178.265,MOVING,SITTING,pose_switch
leanback_3m,178.64,SITTING,MOVING,pose_switch
leanback_3m,180.359,MOVING,SITTING,pose_switch
leanback_3m,180.922,SITTING,MOVING,pose_switch
leanback_3m,181.344,MOVING,SITTING,pose_switch
leanback_4m,259.719,STANDING,UNKNOWN,pose_switch
leanback_4m,260.344,UNKNOWN,SITTING,pose_switch
leanback_4m,264.859,SITTING,MOVING,pose_switch
leanback_4m,265.719,MOVING,SITTING,pose_switch
leanback_4m,267.687,SITTING,MOVING,pose_switch
leanback_4m,268.219,MOVING,SITTING,pose_switch
leanback_4m,268.984,SITTING,MOVING,pose_switch
leanback_4m,270.437,MOVING,SITTING,pose_switch
leanback_4m,271.328,SITTING,STANDING,pose_switch
leanback_4m,273.297,STANDING,UNKNOWN,pose_switch
leanback_4m,275.047,UNKNOWN,STANDING,pose_switch
leanback_4m,278.031,STANDING,UNKNOWN,pose_switch
leanback_4m,278.625,UNKNOWN,STANDING,pose_switch
