segment_id,field,value,count
leanback_1m,quality,NO_POINTS,804
leanback_1m,quality,LOW_POINTS,144
leanback_1m,quality,OK,98
leanback_1m,quality,LOW_CONF,8
leanback_1m,quality,WARMUP,7
leanback_1m,geom_quality,NA,1061
leanback_1m,assoc,NA,1061
leanback_1m,range_zone,1m,1061
leanback_1m,moving_override_reason,NA,1061
leanback_1m,final_reason,NA,1061
leanback_1m,stand_sit_decision,NA,1061
leanback_1m,status,NO_POINTS,804
leanback_1m,status,LOW_POINTS,144
leanback_1m,status,OK,98
leanback_1m,status,LOW_CONF,8
leanback_1m,status,WARMUP,7
leanback_2m,quality,NO_POINTS,953
leanback_2m,quality,OK,183
leanback_2m,quality,LOW_POINTS,132
leanback_2m,quality,LOW_CONF,15
leanback_2m,geom_quality,NA,1283
leanback_2m,assoc,NA,1283
leanback_2m,range_zone,2m,1027
leanback_2m,range_zone,1m,256
leanback_2m,moving_override_reason,NA,1283
leanback_2m,final_reason,NA,1283
leanback_2m,stand_sit_decision,NA,1283
leanback_2m,status,NO_POINTS,953
leanback_2m,status,OK,183
leanback_2m,status,LOW_POINTS,132
leanback_2m,status,LOW_CONF,15
leanback_3m,quality,NO_POINTS,170
leanback_3m,quality,OK,75
leanback_3m,quality,LOW_POINTS,24
leanback_3m,geom_quality,NA,269
leanback_3m,assoc,NA,269
leanback_3m,range_zone,2m,259
leanback_3m,range_zone,3m,10
leanback_3m,moving_override_reason,NA,269
leanback_3m,final_reason,NA,269
leanback_3m,stand_sit_decision,NA,269
leanback_3m,status,NO_POINTS,170
leanback_3m,status,OK,75
leanback_3m,status,LOW_POINTS,24
leanback_4m,quality,NO_POINTS,180
leanback_4m,quality,LOW_POINTS,177
leanback_4m,quality,OK,45
leanback_4m,quality,LOW_CONF,12
leanback_4m,geom_quality,NA,414
leanback_4m,assoc,NA,414
leanback_4m,range_zone,3m,280
leanback_4m,range_zone,4m,134
leanback_4m,moving_override_reason,NA,414
leanback_4m,final_reason,NA,414
leanback_4m,stand_sit_decision,NA,414
leanback_4m,status,NO_POINTS,180
leanback_4m,status,LOW_POINTS,177
leanback_4m,status,OK,45
leanback_4m,status,LOW_CONF,12
