segment_id,tid,frames,start_time_s,end_time_s,duration_s,mean_range_m,ghost_reason
leanback_1m,0,57,12.078,14.968,2.8900000000000006,2.907036599413037,geom_pts_0
leanback_1m,1,540,15.015,44.656,29.641,2.14910264578037,geom_pts_0
leanback_1m,2,4,16.015,16.172,0.15700000000000003,4.9233008172886,geom_pts_0
leanback_1m,3,5,16.765,17.015,0.25,4.759703339487318,geom_pts_0
leanback_3m,4,5,219.109,219.328,0.2189999999999941,5.229777856737185,geom_pts_0
leanback_3m,5,2284,220.0,345.484,125.48399999999998,5.150972482345281,geom_pts_0
leanback_3m,6,6,222.968,223.25,0.2820000000000107,2.559121403530232,geom_pts_0
leanback_3m,7,6,223.453,223.734,0.2810000000000059,4.225095687601688,geom_pts_0
leanback_3m,8,6,224.047,224.328,0.2810000000000059,7.3678977494355,geom_pts_0
leanback_4m,5,1400,355.593,432.547,76.95400000000001,5.124870053109698,geom_pts_0
leanback_4m,9,8,356.109,356.5,0.39100000000001955,6.618289223836287,geom_pts_0
leanback_4m,10,75,357.281,361.343,4.062000000000012,5.269773267862514,geom_pts_0
