segment_id,timestamp_s,from,to,event
leanback_1m,10.547,UNKNOWN,STANDING,pose_switch
leanback_1m,10.562,STANDING,UNKNOWN,pose_switch
leanback_1m,10.656,UNKNOWN,MOVING,pose_switch
leanback_1m,11.078,MOVING,UNKNOWN,pose_switch
leanback_1m,11.218,UNKNOWN,MOVING,pose_switch
leanback_1m,12.078,MOVING,UNKNOWN,pose_switch
leanback_1m,12.547,UNKNOWN,STANDING,pose_switch
leanback_1m,12.64,STANDING,UNKNOWN,pose_switch
leanback_1m,14.125,UNKNOWN,SITTING,pose_switch
leanback_1m,15.015,SITTING,UNKNOWN,pose_switch
leanback_1m,15.39,UNKNOWN,MOVING,pose_switch
leanback_1m,15.781,MOVING,UNKNOWN,pose_switch
leanback_1m,15.906,UNKNOWN,MOVING,pose_switch
leanback_1m,17.875,MOVING,UNKNOWN,pose_switch
leanback_1m,21.218,UNKNOWN,MOVING,pose_switch
leanback_1m,21.64,MOVING,STANDING,pose_switch
leanback_1m,22.187,STANDING,UNKNOWN,pose_switch
leanback_1m,26.64,UNKNOWN,LYING,pose_switch
leanback_1m,27.187,LYING,STANDING,pose_switch
leanback_1m,29.984,STANDING,UNKNOWN,pose_switch
leanback_1m,31.75,UNKNOWN,STANDING,pose_switch
leanback_1m,33.922,STANDING,UNKNOWN,pose_switch
leanback_1m,35.531,UNKNOWN,STANDING,pose_switch
leanback_1m,41.75,STANDING,UNKNOWN,pose_switch
leanback_1m,42.375,UNKNOWN,STANDING,pose_switch
leanback_1m,44.203,STANDING,UNKNOWN,pose_switch
leanback_1m,44.953,UNKNOWN,STANDING,pose_switch
leanback_1m,45.359,STANDING,UNKNOWN,pose_switch
leanback_1m,46.047,UNKNOWN,STANDING,pose_switch
leanback_1m,47.859,STANDING,UNKNOWN,pose_switch
leanback_1m,48.531,UNKNOWN,STANDING,pose_switch
leanback_1m,54.953,STANDING,UNKNOWN,pose_switch
leanback_1m,58.14,UNKNOWN,STANDING,pose_switch
leanback_1m,59.328,STANDING,UNKNOWN,pose_switch
