segment_id,field,value,count
sitting_2m,quality,NO_POINTS,1123
sitting_2m,quality,LOW_POINTS,89
sitting_2m,quality,OK,62
sitting_2m,quality,LOW_CONF,2
sitting_2m,geom_quality,NA,1276
sitting_2m,assoc,NA,1276
sitting_2m,range_zone,2m,1276
sitting_2m,moving_override_reason,NA,1276
sitting_2m,final_reason,NA,1276
sitting_2m,stand_sit_decision,NA,1276
sitting_2m,status,NO_POINTS,1123
sitting_2m,status,LOW_POINTS,89
sitting_2m,status,OK,62
sitting_2m,status,LOW_CONF,2
sitting_3m,quality,NO_POINTS,848
sitting_3m,quality,LOW_POINTS,406
sitting_3m,quality,OK,162
sitting_3m,quality,LOW_CONF,15
sitting_3m,geom_quality,NA,1431
sitting_3m,assoc,NA,1431
sitting_3m,range_zone,3m,1431
sitting_3m,moving_override_reason,NA,1431
sitting_3m,final_reason,NA,1431
sitting_3m,stand_sit_decision,NA,1431
sitting_3m,status,NO_POINTS,848
sitting_3m,status,LOW_POINTS,406
sitting_3m,status,OK,162
sitting_3m,status,LOW_CONF,15
sitting_4m,quality,NO_POINTS,986
sitting_4m,quality,LOW_POINTS,123
sitting_4m,quality,LOW_CONF,4
sitting_4m,quality,OK,2
sitting_4m,geom_quality,NA,1115
sitting_4m,assoc,NA,1115
sitting_4m,range_zone,3m,849
sitting_4m,range_zone,4m,266
sitting_4m,moving_override_reason,NA,1115
sitting_4m,final_reason,NA,1115
sitting_4m,stand_sit_decision,NA,1115
sitting_4m,status,NO_POINTS,986
sitting_4m,status,LOW_POINTS,123
sitting_4m,status,LOW_CONF,4
sitting_4m,status,OK,2
