segment_id,field,value,count
sitting_2m,quality,NO_POINTS,1480
sitting_2m,quality,LOW_POINTS,438
sitting_2m,quality,LOW_CONF,101
sitting_2m,quality,OK,75
sitting_2m,geom_quality,NA,2094
sitting_2m,assoc,NA,2094
sitting_2m,range_zone,2m,2094
sitting_2m,moving_override_reason,NA,2094
sitting_2m,final_reason,NA,2094
sitting_2m,stand_sit_decision,NA,2094
sitting_2m,status,NO_POINTS,1480
sitting_2m,status,LOW_POINTS,438
sitting_2m,status,LOW_CONF,101
sitting_2m,status,OK,75
sitting_3m,quality,NO_POINTS,1918
sitting_3m,quality,LOW_POINTS,300
sitting_3m,quality,LOW_CONF,45
sitting_3m,quality,OK,39
sitting_3m,geom_quality,NA,2302
sitting_3m,assoc,NA,2302
sitting_3m,range_zone,3m,2302
sitting_3m,moving_override_reason,NA,2302
sitting_3m,final_reason,NA,2302
sitting_3m,stand_sit_decision,NA,2302
sitting_3m,status,NO_POINTS,1918
sitting_3m,status,LOW_POINTS,300
sitting_3m,status,LOW_CONF,45
sitting_3m,status,OK,39
sitting_4m,quality,NO_POINTS,1061
sitting_4m,quality,LOW_POINTS,191
sitting_4m,quality,LOW_CONF,66
sitting_4m,quality,OK,34
sitting_4m,geom_quality,NA,1352
sitting_4m,assoc,NA,1352
sitting_4m,range_zone,4m,1352
sitting_4m,moving_override_reason,NA,1352
sitting_4m,final_reason,NA,1352
sitting_4m,stand_sit_decision,NA,1352
sitting_4m,status,NO_POINTS,1061
sitting_4m,status,LOW_POINTS,191
sitting_4m,status,LOW_CONF,66
sitting_4m,status,OK,34
