segment_id,expected_pose,bucket,frames,accuracy
sitting_2m,SITTING,quality_OK,75,0.08
sitting_2m,SITTING,LOW_POINTS,438,0.0684931506849315
sitting_2m,SITTING,NO_POINTS,1480,0.030405405405405407
sitting_2m,SITTING,geom_pts_0,1480,0.030405405405405407
sitting_2m,SITTING,geom_pts_ge_3,307,0.05537459283387622
sitting_3m,SITTING,quality_OK,39,0.05128205128205128
sitting_3m,SITTING,LOW_POINTS,300,0.01
sitting_3m,SITTING,NO_POINTS,1918,0.0
sitting_3m,SITTING,geom_pts_0,1918,0.0
sitting_3m,SITTING,geom_pts_ge_3,152,0.05263157894736842
sitting_4m,SITTING,quality_OK,34,0.0
sitting_4m,SITTING,LOW_POINTS,191,0.0
sitting_4m,SITTING,NO_POINTS,1061,0.0
sitting_4m,SITTING,geom_pts_0,1061,0.0
sitting_4m,SITTING,geom_pts_ge_3,167,0.0
