segment_id,timestamp_s,from,to,event
standing_1m,26.078,MOVING,SITTING,pose_switch
standing_1m,26.735,SITTING,STANDING,pose_switch
standing_2m,89.891,SITTING,STANDING,pose_switch
standing_3m,174.985,SITTING,STANDING,pose_switch
standing_3m,177.657,STANDING,SITTING,pose_switch
standing_3m,181.86,SITTING,STANDING,pose_switch
standing_3m,191.282,STANDING,SITTING,pose_switch
standing_3m,192.188,SITTING,STANDING,pose_switch
leanback_2m,471.485,MOVING,SITTING,pose_switch
leanback_3m,556.86,SITTING,STANDING,pose_switch
leanback_3m,560.813,STANDING,SITTING,pose_switch
upright_1m,790.219,MOVING,SITTING,pose_switch
upright_1m,796.797,SITTING,STANDING,pose_switch
upright_3m,941.375,SITTING,STANDING,pose_switch
upright_3m,943.203,STANDING,SITTING,pose_switch
upright_3m,944.453,SITTING,STANDING,pose_switch
upright_3m,948.094,STANDING,SITTING,pose_switch
upright_3m,951.078,SITTING,STANDING,pose_switch
upright_3m,963.485,STANDING,SITTING,pose_switch
upright_3m,968.907,SITTING,STANDING,pose_switch
upright_5m,1156.516,UNKNOWN,SITTING,pose_switch
upright_5m,1156.563,SITTING,UNKNOWN,pose_switch
upright_5m,1156.735,UNKNOWN,SITTING,pose_switch
upright_5m,1156.907,SITTING,MOVING,pose_switch
upright_5m,1158.047,MOVING,UNKNOWN,pose_switch
upright_5m,1158.203,UNKNOWN,MOVING,pose_switch
upright_5m,1159.719,MOVING,SITTING,pose_switch
upright_5m,1159.828,SITTING,MOVING,pose_switch
upright_5m,1160.157,MOVING,SITTING,pose_switch
upright_5m,1161.032,SITTING,MOVING,pose_switch
upright_5m,1161.844,MOVING,SITTING,pose_switch
upright_5m,1162.907,SITTING,STANDING,pose_switch
upright_5m,1183.969,STANDING,MOVING,pose_switch
upright_5m,1184.266,MOVING,SITTING,pose_switch
leanforward_1m,1233.047,SITTING,MOVING,pose_switch
leanforward_1m,1233.375,MOVING,SITTING,pose_switch
leanforward_1m,1233.875,SITTING,MOVING,pose_switch
leanforward_2m,1256.438,SITTING,STANDING,pose_switch
leanforward_3m,1320.016,SITTING,STANDING,pose_switch
leanforward_4m,1404.016,UNKNOWN,SITTING,pose_switch
leanforward_4m,1404.203,SITTING,MOVING,pose_switch
leanforward_4m,1404.813,MOVING,SITTING,pose_switch
leanforward_5m,1482.36,MOVING,STANDING,pose_switch
