segment_id,field,value,count
standing_1m,quality,LOW_POINTS,626
standing_1m,quality,NO_POINTS,218
standing_1m,quality,OK,90
standing_1m,quality,LOW_CONF,33
standing_1m,geom_quality,NA,967
standing_1m,assoc,NA,967
standing_1m,range_zone,1m,967
standing_1m,moving_override_reason,NA,967
standing_1m,final_reason,NA,967
standing_1m,stand_sit_decision,NA,967
standing_1m,status,LOW_POINTS,626
standing_1m,status,NO_POINTS,218
standing_1m,status,OK,90
standing_1m,status,LOW_CONF,33
standing_2m,quality,NO_POINTS,719
standing_2m,quality,LOW_POINTS,365
standing_2m,quality,OK,9
standing_2m,quality,LOW_CONF,2
standing_2m,geom_quality,NA,1095
standing_2m,assoc,NA,1095
standing_2m,range_zone,2m,1095
standing_2m,moving_override_reason,NA,1095
standing_2m,final_reason,NA,1095
standing_2m,stand_sit_decision,NA,1095
standing_2m,status,NO_POINTS,719
standing_2m,status,LOW_POINTS,365
standing_2m,status,OK,9
standing_2m,status,LOW_CONF,2
standing_3m,quality,NO_POINTS,840
standing_3m,quality,LOW_POINTS,264
standing_3m,quality,OK,29
standing_3m,quality,LOW_CONF,10
standing_3m,geom_quality,NA,1143
standing_3m,assoc,NA,1143
standing_3m,range_zone,3m,1143
standing_3m,moving_override_reason,NA,1143
standing_3m,final_reason,NA,1143
standing_3m,stand_sit_decision,NA,1143
standing_3m,status,NO_POINTS,840
standing_3m,status,LOW_POINTS,264
standing_3m,status,OK,29
standing_3m,status,LOW_CONF,10
standing_4m,quality,NO_POINTS,477
standing_4m,quality,LOW_POINTS,13
standing_4m,geom_quality,NA,490
standing_4m,assoc,NA,490
standing_4m,range_zone,4m,490
standing_4m,moving_override_reason,NA,490
standing_4m,final_reason,NA,490
standing_4m,stand_sit_decision,NA,490
standing_4m,status,NO_POINTS,477
standing_4m,status,LOW_POINTS,13
standing_5m,quality,NO_POINTS,1046
standing_5m,quality,LOW_POINTS,86
standing_5m,geom_quality,NA,1132
standing_5m,assoc,NA,1132
standing_5m,range_zone,4m,1132
standing_5m,moving_override_reason,NA,1132
standing_5m,final_reason,NA,1132
standing_5m,stand_sit_decision,NA,1132
standing_5m,status,NO_POINTS,1046
standing_5m,status,LOW_POINTS,86
leanback_1m,quality,NO_POINTS,452
leanback_1m,quality,LOW_POINTS,56
leanback_1m,geom_quality,NA,508
leanback_1m,assoc,NA,508
leanback_1m,range_zone,1m,508
leanback_1m,moving_override_reason,NA,508
leanback_1m,final_reason,NA,508
leanback_1m,stand_sit_decision,NA,508
leanback_1m,status,NO_POINTS,452
leanback_1m,status,LOW_POINTS,56
leanback_2m,quality,NO_POINTS,446
leanback_2m,quality,LOW_POINTS,19
leanback_2m,quality,OK,6
leanback_2m,geom_quality,NA,471
leanback_2m,assoc,NA,471
leanback_2m,range_zone,2m,471
leanback_2m,moving_override_reason,NA,471
leanback_2m,final_reason,NA,471
leanback_2m,stand_sit_decision,NA,471
leanback_2m,status,NO_POINTS,446
leanback_2m,status,LOW_POINTS,19
leanback_2m,status,OK,6
leanback_3m,quality,NO_POINTS,484
leanback_3m,quality,LOW_POINTS,33
leanback_3m,quality,OK,1
leanback_3m,geom_quality,NA,518
leanback_3m,assoc,NA,518
leanback_3m,range_zone,3m,518
leanback_3m,moving_override_reason,NA,518
leanback_3m,final_reason,NA,518
leanback_3m,stand_sit_decision,NA,518
leanback_3m,status,NO_POINTS,484
leanback_3m,status,LOW_POINTS,33
leanback_3m,status,OK,1
leanback_4m,quality,NO_POINTS,661
leanback_4m,quality,LOW_POINTS,8
leanback_4m,quality,OK,1
leanback_4m,geom_quality,NA,670
leanback_4m,assoc,NA,670
leanback_4m,range_zone,4m,670
leanback_4m,moving_override_reason,NA,670
leanback_4m,final_reason,NA,670
leanback_4m,stand_sit_decision,NA,670
leanback_4m,status,NO_POINTS,661
leanback_4m,status,LOW_POINTS,8
leanback_4m,status,OK,1
leanback_5m,quality,NO_POINTS,621
leanback_5m,quality,LOW_POINTS,1
leanback_5m,geom_quality,NA,622
leanback_5m,assoc,NA,622
leanback_5m,range_zone,4m,622
leanback_5m,moving_override_reason,NA,622
leanback_5m,final_reason,NA,622
leanback_5m,stand_sit_decision,NA,622
leanback_5m,status,NO_POINTS,621
leanback_5m,status,LOW_POINTS,1
upright_1m,quality,NO_POINTS,764
upright_1m,quality,LOW_POINTS,359
upright_1m,quality,OK,66
upright_1m,quality,LOW_CONF,8
upright_1m,geom_quality,NA,1197
upright_1m,assoc,NA,1197
upright_1m,range_zone,1m,1197
upright_1m,moving_override_reason,NA,1197
upright_1m,final_reason,NA,1197
upright_1m,stand_sit_decision,NA,1197
upright_1m,status,NO_POINTS,764
upright_1m,status,LOW_POINTS,359
upright_1m,status,OK,66
upright_1m,status,LOW_CONF,8
upright_2m,quality,NO_POINTS,1069
upright_2m,quality,LOW_POINTS,93
upright_2m,quality,OK,9
upright_2m,geom_quality,NA,1171
upright_2m,assoc,NA,1171
upright_2m,range_zone,2m,1171
upright_2m,moving_override_reason,NA,1171
upright_2m,final_reason,NA,1171
upright_2m,stand_sit_decision,NA,1171
upright_2m,status,NO_POINTS,1069
upright_2m,status,LOW_POINTS,93
upright_2m,status,OK,9
upright_3m,quality,NO_POINTS,988
upright_3m,quality,LOW_POINTS,162
upright_3m,quality,OK,14
upright_3m,quality,LOW_CONF,2
upright_3m,geom_quality,NA,1166
upright_3m,assoc,NA,1166
upright_3m,range_zone,3m,1166
upright_3m,moving_override_reason,NA,1166
upright_3m,final_reason,NA,1166
upright_3m,stand_sit_decision,NA,1166
upright_3m,status,NO_POINTS,988
upright_3m,status,LOW_POINTS,162
upright_3m,status,OK,14
upright_3m,status,LOW_CONF,2
upright_4m,quality,NO_POINTS,460
upright_4m,quality,LOW_POINTS,13
upright_4m,quality,OK,1
upright_4m,quality,LOW_CONF,1
upright_4m,geom_quality,NA,475
upright_4m,assoc,NA,475
upright_4m,range_zone,4m,475
upright_4m,moving_override_reason,NA,475
upright_4m,final_reason,NA,475
upright_4m,stand_sit_decision,NA,475
upright_4m,status,NO_POINTS,460
upright_4m,status,LOW_POINTS,13
upright_4m,status,OK,1
upright_4m,status,LOW_CONF,1
