rank,path,modified_time,session_id_if_found,cfg_path_if_found,csv_count,has_mmwave_frames,has_mmwave_tracks,has_mmwave_pose,has_rgb_frames,has_rgb_tracks,has_rgb_keypoints,has_sync_index,has_rgb_video,selected,notes
1,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\sitting_relative_gate_refined_live_test,2026-07-04 17:18:55,sitting_relative_gate_refined_live_test,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,8,True,True,True,True,True,True,True,True,True,selected exact folder name match
2,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\sitting_relative_gate_refined_live_test,2026-07-04 17:18:52,sitting_relative_gate_refined_live_test,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,exact folder name match
3,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\sitting_ab_static_retention_cfg,2026-07-04 15:42:14,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_staticRetention.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
4,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\sitting_ab_default_cfg,2026-07-04 15:34:05,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
5,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\external_camera_confirmed_retention_test,2026-07-04 01:05:03,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
6,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\external_usb_camera_dshow_test,2026-07-04 00:38:37,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
7,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\external_usb_camera_multiperson_validation_test,2026-07-04 00:30:08,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
8,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\multiperson_track_validation_test,2026-07-04 00:17:12,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
9,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\human_ui_stale_cleanup_test,2026-07-03 23:35:29,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
10,C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs\stand_to_sit_gate_video_test,2026-07-03 23:14:00,,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,1,False,False,True,False,False,False,False,False,False,metadata-bearing candidate
