segment_id,expected_pose,expected_subpose,expected_distance_m,num_disappearance_events,total_disappearance_s,longest_disappearance_s,disappearance_rate,most_common_reason_hypothesis,tracking_presence_rate,pose_presence_rate,ui_visible_rate
standing_1m,STANDING,STANDING,1.0,2,0.7,0.4,0.10244360902255634,RENDER_NOT_CONFIRMED,0.9088345864661654,0.9088345864661654,0.8975563909774437
standing_2m,STANDING,STANDING,2.0,2,0.55,0.4,0.09875518672199168,RENDER_NOT_CONFIRMED,0.9095435684647303,0.9095435684647303,0.9012448132780083
standing_3m,STANDING,STANDING,3.0,5,1.4500000000000002,0.3,0.11208267090620028,RENDER_NOT_CONFIRMED,0.9085850556438791,0.9085850556438791,0.8879173290937997
standing_4m,STANDING,STANDING,4.0,0,0.0,0.0,0.09090909090909094,NA,0.9109461966604824,0.9109461966604824,0.9090909090909091
standing_5m,STANDING,STANDING,5.0,0,0.0,0.0,0.0907630522088353,NA,0.9092369477911647,0.9092369477911647,0.9092369477911647
leanback_1m,SITTING,SITTING_LEAN_BACK,1.0,0,0.0,0.0,0.09090909090909094,NA,0.9090909090909091,0.9090909090909091,0.9090909090909091
leanback_2m,SITTING,SITTING_LEAN_BACK,2.0,0,0.0,0.0,0.09055876685934494,NA,0.9094412331406551,0.9094412331406551,0.9094412331406551
leanback_3m,SITTING,SITTING_LEAN_BACK,3.0,1,0.3,0.3,0.09841827768014055,RENDER_NOT_CONFIRMED,0.9103690685413005,0.9103690685413005,0.9015817223198594
leanback_4m,SITTING,SITTING_LEAN_BACK,4.0,0,0.0,0.0,0.09090909090909094,NA,0.9090909090909091,0.9090909090909091,0.9090909090909091
leanback_5m,SITTING,SITTING_LEAN_BACK,5.0,0,0.0,0.0,0.09210526315789469,NA,0.9078947368421053,0.9078947368421053,0.9078947368421053
upright_1m,SITTING,SITTING_UPRIGHT,1.0,1,0.35,0.35,0.09802431610942253,RENDER_NOT_CONFIRMED,0.9080547112462006,0.9080547112462006,0.9019756838905775
upright_2m,SITTING,SITTING_UPRIGHT,2.0,0,0.0,0.0,0.09083850931677018,NA,0.9091614906832298,0.9091614906832298,0.9091614906832298
upright_3m,SITTING,SITTING_UPRIGHT,3.0,6,1.6500000000000001,0.35,0.11700468018720744,RENDER_NOT_CONFIRMED,0.9087363494539782,0.9087363494539782,0.8829953198127926
upright_4m,SITTING,SITTING_UPRIGHT,4.0,0,0.0,0.0,0.09160305343511455,NA,0.9103053435114504,0.9103053435114504,0.9083969465648855
upright_5m,SITTING,SITTING_UPRIGHT,5.0,9,3.05,0.7,0.14800000000000002,RENDER_NOT_CONFIRMED,0.909,0.896,0.852
leanforward_1m,SITTING,SITTING_LEAN_FORWARD,1.0,1,0.3,0.3,0.10133843212237093,RENDER_NOT_CONFIRMED,0.9082217973231358,0.9082217973231358,0.8986615678776291
leanforward_2m,SITTING,SITTING_LEAN_FORWARD,2.0,1,0.35,0.35,0.09857328145265887,RENDER_NOT_CONFIRMED,0.9105058365758755,0.9105058365758755,0.9014267185473411
leanforward_3m,SITTING,SITTING_LEAN_FORWARD,3.0,1,0.3,0.3,0.09740259740259738,RENDER_NOT_CONFIRMED,0.908008658008658,0.908008658008658,0.9025974025974026
leanforward_4m,SITTING,SITTING_LEAN_FORWARD,4.0,2,0.9500000000000001,0.55,0.11846689895470386,RENDER_NOT_CONFIRMED,0.9111498257839721,0.8989547038327527,0.8815331010452961
leanforward_5m,SITTING,SITTING_LEAN_FORWARD,5.0,1,1.55,1.55,0.1482254697286013,RENDER_NOT_CONFIRMED,0.9102296450939458,0.9102296450939458,0.8517745302713987
