session_id,expected_pose,expected_subpose,expected_distance_m,distance_band,expected_position,people_count,segment_count,session_count,tracking_presence_rate,pose_presence_rate,ui_visible_rate,disappearance_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,mean_geom_pts,median_geom_pts,point_count_if_available,mean_snr_if_available,range_error_mean,range_jitter,pose_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_standing_on_sitting,pose_switch_count
session_20260703_205540,SITTING,SITTING_LEAN_BACK,1.0,NEAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,0.723,0.9425,0.0469,0.9451,0.0,,,0.1199,0.0965,0.6664,,0.6664,,0.2805,3
session_20260703_205540,SITTING,SITTING_LEAN_BACK,2.0,NEAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0582,0.0,1.0,,1.0,,0.0,0
session_20260703_205540,SITTING,SITTING_LEAN_BACK,3.0,NEAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,0.7291,0.9207,0.0793,1.0551,0.0,,,0.0586,0.0596,0.0815,,0.0815,,0.8855,3
session_20260703_205540,SITTING,SITTING_LEAN_BACK,4.0,FAR,CENTER,1,1,1,0.9893,0.9893,0.9573,0.0107,0.6853,0.9496,0.0162,1.0881,0.0,,,0.1338,0.0886,0.0,,0.0,,0.9676,0
session_20260703_205540,STANDING,STANDING,1.0,NEAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,0.3697,0.9609,0.0344,1.8827,1.0,,,0.0153,0.0174,0.9562,0.9562,,0.0367,,1
session_20260703_205540,STANDING,STANDING,2.0,NEAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,0.7228,0.9924,0.0076,0.6405,0.0,,,0.0663,0.0112,0.9709,0.9709,,0.0291,,1
session_20260703_205540,STANDING,STANDING,3.0,NEAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,0.9092,1.0,0.0,0.1892,0.0,,,0.0427,0.0085,1.0,1.0,,0.0,,0
session_20260703_205540,STANDING,STANDING,4.0,FAR,CENTER,1,1,1,1.0,1.0,1.0,0.0,0.9648,1.0,0.0,0.0622,0.0,,,0.0334,0.0204,1.0,1.0,,0.0,,0
session_20260704_145249,SITTING,SITTING_LEAN_BACK,1.0,NEAR,LEFT,2,1,1,1.0,1.0,1.0,0.0,0.7664,0.905,0.0903,1.4735,0.0,,,0.6821,0.0559,0.1481,,0.1481,,0.8131,5
session_20260704_145249,SITTING,SITTING_LEAN_BACK,1.0,NEAR,RIGHT,2,1,1,1.0,1.0,1.0,0.0,0.8092,0.9382,0.0618,0.8686,0.0,,,0.3327,0.0924,0.9897,,0.9897,,0.0,2
session_20260704_145249,SITTING,SITTING_LEAN_BACK,2.0,NEAR,LEFT,2,1,1,0.9992,0.9992,0.9992,0.0008,0.8446,0.9659,0.0341,0.5337,0.0,,,0.2411,0.0085,0.9033,,0.9033,,0.096,2
session_20260704_145249,SITTING,SITTING_LEAN_BACK,2.0,NEAR,RIGHT,2,1,1,0.9992,0.9992,0.9992,0.0008,0.8493,0.9667,0.0333,0.5155,0.0,,,0.1945,0.0487,0.904,,0.904,,0.096,1
session_20260704_145249,SITTING,SITTING_LEAN_BACK,3.0,NEAR,LEFT,2,1,1,0.5579,0.5579,0.5413,0.4421,0.7596,0.8663,0.0953,1.6942,0.0,,,0.3292,0.2722,0.1778,,0.1778,,0.7468,5
session_20260704_145249,SITTING,SITTING_LEAN_BACK,3.0,NEAR,RIGHT,2,1,1,1.0,1.0,1.0,0.0,0.8716,0.9739,0.0261,0.4073,0.0,,,0.1011,0.1983,0.8756,,0.8756,,0.0895,2
session_20260704_145249,SITTING,SITTING_LEAN_BACK,4.0,FAR,LEFT,2,1,1,0.9992,0.9992,0.9992,0.0008,0.9468,0.9897,0.0087,0.1595,0.0,,,0.424,0.3265,0.6889,,0.6889,,0.0,5
session_20260704_145249,SITTING,SITTING_LEAN_BACK,4.0,FAR,RIGHT,2,1,1,0.0,0.0,0.9992,1.0,0.0,0.0,0.0,0.1595,0.0,,,0.424,0.3265,0.6889,,0.6889,,0.0,5
session_20260704_145249,SITTING,SITTING_LEAN_BACK,5.0,FAR,LEFT,2,1,1,0.0952,0.0952,0.0849,0.9048,0.625,0.9083,0.05,1.6083,0.0,,,0.0722,0.067,0.1583,,0.1583,,0.525,2
session_20260704_145249,SITTING,SITTING_LEAN_BACK,5.0,FAR,RIGHT,2,1,1,0.754,0.754,0.6452,0.246,0.9537,0.9979,0.0011,0.1053,0.0,,,0.6316,0.2026,0.3053,,0.3053,,0.52,3
session_20260704_145249,STANDING,STANDING,1.0,NEAR,LEFT,2,1,1,0.6028,0.6028,0.6028,0.3972,0.6378,0.8255,0.1234,3.5354,0.0,,,0.4374,0.0364,0.8635,0.8635,,0.0814,,10
session_20260704_145249,STANDING,STANDING,1.0,NEAR,RIGHT,2,1,1,0.9976,0.9976,0.9786,0.0024,0.797,0.9603,0.0317,1.0087,0.0,,,0.4562,0.2112,0.9072,0.9072,,0.027,,9
session_20260704_145249,STANDING,STANDING,2.0,NEAR,LEFT,2,1,1,1.0,1.0,0.9865,0.0,0.5829,0.9151,0.0563,1.8271,0.0,,,0.2884,0.3838,0.9278,0.9278,,0.0063,,7
session_20260704_145249,STANDING,STANDING,2.0,NEAR,RIGHT,2,1,1,1.0,1.0,1.0,0.0,0.8049,0.9627,0.0127,0.7827,0.0,,,0.304,0.3644,0.9405,0.9405,,0.0174,,3
session_20260704_145249,STANDING,STANDING,3.0,NEAR,LEFT,2,1,1,1.0,1.0,0.9937,0.0,0.5651,0.9437,0.0421,1.327,0.0,,,0.33,0.3686,0.9516,0.9516,,0.0,,4
session_20260704_145249,STANDING,STANDING,3.0,NEAR,RIGHT,2,1,1,1.0,1.0,0.9881,0.0,0.7238,0.9762,0.0127,0.7317,0.0,,,0.3068,0.4345,0.9373,0.9373,,0.0,,4
session_20260704_145249,STANDING,STANDING,4.0,FAR,LEFT,2,1,1,0.4302,0.4302,0.4151,0.5698,0.9668,0.9963,0.0,0.1273,0.0,,,0.0952,0.0001,0.9649,0.9649,,0.0,,0
